Deporte,Equipo1,Equipo2,Mi_Favorito,Favorito_Apuestas,Resultado,Cuota_Eq1,Cuota_Eq2,Cuota_E,Fecha
Futbol,River,Sarmiento,Sarmiento,River,Empate,1.73,3.6,5,05/04/2025
Futbol,Huracan,Aldosivi,Huracan,Huracan,Empate,1.9,3.3,4.33,05/04/2025
Futbol,Boca,Barracas Central,Boca,Boca,Boca,1.5,3.8,7.5,06/04/2025
Futbol,Arsenal,Real Madrid,Arsenal,Arsenal,Arsenal,2,3.5,3.6,08/04/2025
Futbol,River,Barcelona SC,Barcelona SC,River,Empate,1.33,5,10,08/04/2025
Futbol,Barcelona,Dortmund,Barcelona ,Barcelona,Barcelona,1.3,5.75,8,09/04/2025
Futbol,Lyon,Manchester United,Manchester United,Manchester United,Empate,3.1,3.25,2.35,10/04/2025
Futbol,Belgrano,Boca,Boca,Boca,Boca,3.3,3,2.38,12/04/2025
Futbol,River,Talleres,Talleres,River,Empate,1.65,3.9,5.5,13/04/2025
Futbol,Real Madrid,Arsenal,Arsenal,Real Madrid,Arsenal,1.75,4,4.2,16/04/2025
Futbol,Manchester United,Lyon,Manchester United,Manchester United,Empate,1.67,4.1,4.75,17/04/2025
Futbol,Boca,Estudiantes,Boca,Boca,Boca,2,3.1,4.2,19/04/2025
Basquet,Warriors,Clippers,Warriors,Warriors,Clippers,1.63,2.35,-,13/04/2025
Basquet,Warriors,Grizzlies,Warriors,Warriors,Warriors,1.34,3.35,-,15/04/2025
Basquet,Kings,Mavericks,Mavericks,Kings,Mavericks,1.4,03.05,-,16/04/2025
Basquet,Pacers,Bucks,Pacers,Pacers,Pacers,1.42,2.95,-,19/04/2025
Basquet,Nuggets,Clippers,Nuggets,Nuggets,Nuggets,1.67,2.25,-,19/04/2025
Basquet,Lakers,Timberwolves,Lakers,Lakers,Timberwolves,1.49,2.7,-,19/04/2025
Basquet,Thunder,Grizzlies,Thunder,Thunder,Thunder,1.11,7.25,-,20/04/2025
Basquet,Celtics,Magic,Magic,Celtics,Celtics,1.12,6.75,-,20/04/2025
Basquet,Cavs,Heat,Cavs,Cavs,Cavs,1.13,6.5,-,20/04/2025
Basquet,Rockets,Warriors,Warriors,Rockets,Warriors,1.8,02.05,-,20/04/2025
Basquet,Nuggets,Clippers,Nuggets,Clippers,Clippers,1.91,1.92,-,21/04/2025
Tenis,Etcheverry,Moutet,Etcheverry,Etcheverry,Etcheverry,1.62,2.3,-,08/04/2025
Tenis,Cerundolo,Alcaraz,Cerundolo,Alcaraz,Alcaraz,3.5,1.3,-,09/04/2025
Tenis,Alcaraz,Fils,Alcaraz,Alcaraz,Alcaraz,1.35,3.2,-,11/04/2025
Tenis,Rune,Baez,Baez,Rune,Rune,1.67,2.2,-,16/04/2025
Tenis,Cerundolo,Struff,Cerundolo,Cerundolo,Cerundolo,1.25,4,-,15/04/2025
Tenis,Navone,Auger-Aliassime,Navone,Auger-Aliassime,Navone,2.3,1.62,-,15/04/2025
Tenis,Goffin,Navone,Navone,Goffin,Navone,3.2,1.35,-,17/04/2025
Tenis,Cerundolo,Schevchenko,Cerundolo,Cerundolo,Cerundolo,01.08,8,-,17/04/2025
Tenis,Cerundolo,Shelton,Cerundolo,Cerundolo,Shelton,1.35,3.2,-,19/04/2025
Tenis,Alcaraz,Fils,Alcaraz,Alcaraz,Alcaraz,1.3,2.5,-,19/04/2025
Tenis,Shelton,Navone,Navone,Shelton,Shelton,1.8,2,-,25/04/2025
